,rental_id,rental_date,customer_id,customer_name,city,country,film_id,film_title,category,length,store_id,staff_id,staff_name,payment_amount,payment_date,rental_duration,gap
992,1185,2005-06-15 00:54:12,1,Mary Smith,Sasebo,Japan,611,Musketeers Wait,Classics,73,1,2,Jon Stephens,5.99,2007-02-14 23:22:38.996577,8.0,
993,1422,2005-06-15 18:02:53,1,Mary Smith,Sasebo,Japan,228,Detective Vision,Classics,143,1,2,Jon Stephens,0.99,2007-02-15 16:31:19.996577,3.0,0.0
994,1476,2005-06-15 21:08:46,1,Mary Smith,Sasebo,Japan,308,Ferris Mother,Comedy,142,1,1,Mike Hillyer,9.99,2007-02-15 19:37:12.996577,9.0,0.0
995,1725,2005-06-16 15:18:57,1,Mary Smith,Sasebo,Japan,159,Closer Bang,Comedy,58,1,1,Mike Hillyer,4.99,2007-02-16 13:47:23.996577,1.0,0.0
996,2308,2005-06-18 08:41:48,1,Mary Smith,Sasebo,Japan,44,Attacks Hate,Sci-Fi,113,1,2,Jon Stephens,4.99,2007-02-18 07:10:14.996577,3.0,1.0
997,2363,2005-06-18 13:33:59,1,Mary Smith,Sasebo,Japan,766,Savannah Town,Drama,84,1,1,Mike Hillyer,0.99,2007-02-18 12:02:25.996577,1.0,0.0
998,3284,2005-06-21 06:24:45,1,Mary Smith,Sasebo,Japan,997,Youth Kick,Music,179,1,1,Mike Hillyer,3.99,2007-02-21 04:53:11.996577,6.0,2.0
11490,4526,2005-07-08 03:17:05,1,Mary Smith,Sasebo,Japan,316,Fire Wolves,Games,173,1,2,Jon Stephens,5.99,2007-04-08 01:45:31.996577,5.0,16.0
11491,4611,2005-07-08 07:33:56,1,Mary Smith,Sasebo,Japan,764,Saturday Lambs,Sports,150,1,2,Jon Stephens,5.99,2007-04-08 06:02:22.996577,4.0,0.0
11492,5244,2005-07-09 13:24:07,1,Mary Smith,Sasebo,Japan,814,Snatch Slipper,Comedy,110,1,2,Jon Stephens,4.99,2007-04-09 11:52:33.996577,5.0,1.0
11493,5326,2005-07-09 16:38:01,1,Mary Smith,Sasebo,Japan,174,Confidential Interview,Music,180,1,1,Mike Hillyer,4.99,2007-04-09 15:06:27.996577,4.0,0.0
11494,6163,2005-07-11 10:13:46,1,Mary Smith,Sasebo,Japan,294,Expecations Natural,Travel,138,1,2,Jon Stephens,7.99,2007-04-11 08:42:12.996577,8.0,1.0
11495,7273,2005-07-27 11:31:22,1,Mary Smith,Sasebo,Japan,539,Luck Opus,Drama,152,1,1,Mike Hillyer,2.99,2007-04-27 09:59:48.996577,3.0,16.0
11496,7841,2005-07-28 09:04:45,1,Mary Smith,Sasebo,Japan,243,Doors President,Animation,49,1,2,Jon Stephens,4.99,2007-04-28 07:33:11.996577,2.0,0.0
11497,8033,2005-07-28 16:18:23,1,Mary Smith,Sasebo,Japan,929,Usual Untouchables,Foreign,128,1,1,Mike Hillyer,4.99,2007-04-28 14:46:49.996577,2.0,0.0
11498,8074,2005-07-28 17:33:39,1,Mary Smith,Sasebo,Japan,341,Frost Head,Classics,82,1,1,Mike Hillyer,0.99,2007-04-28 16:02:05.996577,1.0,0.0
11499,8116,2005-07-28 19:20:07,1,Mary Smith,Sasebo,Japan,982,Women Dorado,Action,126,1,1,Mike Hillyer,0.99,2007-04-28 17:48:33.996577,1.0,0.0
11500,8326,2005-07-29 03:58:49,1,Mary Smith,Sasebo,Japan,22,Amistad Midsummer,New,85,1,2,Jon Stephens,2.99,2007-04-29 02:27:15.996577,3.0,0.0
11501,9571,2005-07-31 02:42:18,1,Mary Smith,Sasebo,Japan,480,Jeepers Wedding,Classics,84,1,2,Jon Stephens,2.99,2007-04-30 01:10:44.996577,2.0,1.0
5177,10437,2005-08-01 08:51:04,1,Mary Smith,Sasebo,Japan,3,Adaptation Holes,Documentary,50,1,1,Mike Hillyer,4.99,2007-03-01 07:19:30.996577,9.0,1.0
5178,11299,2005-08-02 15:36:52,1,Mary Smith,Sasebo,Japan,709,Racer Egg,Drama,147,1,2,Jon Stephens,3.99,2007-03-02 14:05:18.996577,8.0,1.0
